id,rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,start_value,production_budget,domestic_gross,worldwide_gross,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between
4605,4,1937-12-21,Snow White and the Seven Dwarfs,most_profitable,Most Profitable,"Animation, Family, Fantasy",Animation,snowwhiteandthesevendwarfs.jpg,http://www.rottentomatoes.com/m/the_house_of_magical_sounds_1937/,0,24888143,3093045683,3093045683,3068157540,7.7,8.8,0,0,0,0,0,0,0
34,5,1997-12-19,Titanic,most_profitable,Most Profitable,"Drama, Romance",Drama,titanic.jpg,http://www.rottentomatoes.com/m/titanic/,0,298639802,983528828,3296409526,2997769724,7.7,8,0,0,0,0,0,0,0
4292,6,1950-02-15,Cinderella (1950),most_profitable,Most Profitable,"Animation, Family, Fantasy",Animation,cinderella.jpg,http://www.rottentomatoes.com/m/1004186-cinderella/,0,29722285,871170426,2701565237,2671842952,7.3,7.7,0,0,0,0,0,0,0
1,7,2009-12-18,Avatar,most_profitable,Most Profitable,"Action,Adventure,Fantasy",Action,avatar.jpg,http://www.imdb.com/title/tt0499549/?ref_=nv_sr_1,0,474012498,848212045,3104970334,2630957835,7.9,7.5,0,0,0,0,0,0,0
3471,8,1965-04-01,The Sound of Music,most_profitable,Most Profitable,"Biography, Drama, Family",Biography,thesoundofmusic.jpg,http://www.rottentomatoes.com/m/sound_of_music/,0,62897917,1251931542,2195400300,2132502383,8,8,0,0,0,0,0,0,0
3019,9,1975-06-20,Jaws,most_profitable,Most Profitable,"Adventure, Drama, Thriller",Adventure,jaws.jpg,http://www.rottentomatoes.com/m/jaws/,0,53922313,1168316791,2115102744,2061180431,8,9.2,0,0,0,0,0,0,0
3020,10,1973-12-26,The Exorcist,most_profitable,Most Profitable,Horror,Horror,theexorcist.jpg,http://www.rottentomatoes.com/m/exorcist/,0,62559221,1054891024,2086425491,2023866270,8,8,0,0,0,0,0,0,0
3186,11,1982-06-11,ET: The Extra-Terrestrial,most_profitable,Most Profitable,"Family, Sci-Fi",Family,ettheextraterrestrial.jpg,http://www.imdb.com/title/tt0083866/?ref_=nv_sr_4,0,26071716,1080388477,1968949254,1942877538,7.9,9.2,0,0,0,0,0,0,0
2,12,2015-12-18,Star Wars Ep. VII: The Force Awakens,most_profitable,Most Profitable,"Action,Adventure,Fantasy",Action,starwarsepviitheforceawakens.jpg,http://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,0,311599273,953801530,2096332197,1784732924,8.2,8.2,0,0,0,0,0,0,0
727,13,1993-06-11,Jurassic Park,most_profitable,Most Profitable,"Adventure, Sci-Fi, Thriller",Adventure,jurassicpark.jpg,http://www.rottentomatoes.com/m/jurassic_park/,0,105081295,660024462,1732694787,1627613492,8.1,8.3,0,0,0,0,0,0,0
3584,14,1972-03-15,The Godfather,most_profitable,Most Profitable,"Crime, Drama",Crime,thegodfather.jpg,http://www.rottentomatoes.com/m/godfather/,0,40723937,785194806,1562053877,1521329940,9.2,9.2,0,0,0,0,0,0,0
2121,15,1980-05-21,Star Wars Ep. V: The Empire Strikes Back,most_profitable,Most Profitable,"Action,ÊAdventure,ÊFantasy",Action,starwarsepvtheempirestrikesback.jpg,http://www.imdb.com/title/tt0080684/?ref_=fn_al_tt_1,0,67721504,854680591,1572822972,1505101468,8.8,8.9,0,0,0,0,0,0,0
530,16,1994-06-15,The Lion King,most_profitable,Most Profitable,"Animation,Adventure,Drama",Animation,thelionking.jpg,http://www.imdb.com/title/tt0110357/?ref_=nv_sr_1,0,129051641,688026115,1607010501,1477958860,8.4,8.3,0,0,0,0,0,0,0
25,17,2015-06-12,Jurassic World,most_profitable,Most Profitable,"Action,Adventure,Sci-Fi",Action,jurassicworld.jpg,http://www.imdb.com/title/tt0369610/?ref_=nv_sr_1,0,216995596,658251608,1685831744,1468836148,7,6.7,0,0,1,1,0,1,0
3702,18,1978-06-16,Grease,most_profitable,Most Profitable,"Musical, Romance",Musical,grease.jpg,http://www.rottentomatoes.com/m/grease/,0,22164387,671631778,1431500829,1409336442,7.2,6.6,0,0,0,1,0,1,0
4378,19,1940-11-13,Fantasia,most_profitable,Most Profitable,"Animation, Family, Fantasy",Animation,fantasia.jpg,http://www.rottentomatoes.com/m/fantasia/,0,39224631,1433419426,1433419426,1394194794,7.8,8.6,0,0,0,0,0,0,0
359,20,2003-12-17,The Lord of the Rings: The Return of the King,most_profitable,Most Profitable,"Action, Adventure, Drama",Action,thelordoftheringsthereturnoftheking.jpg,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/,0,122844178,493789038,1491653292,1368809114,8.9,8.7,0,0,0,0,0,0,0
